id;name;address
1;eyeballs;generate back-end
2;generate target;Group
3;Pizza Handcrafted Licensed;orchid ivory Handmade Cotton Table
4;Unbranded;Peso Uruguayo Uruguay Peso en Unidades Indexadas Implemented
5;Auto Loan Account;Malaysian Ringgit Pound Sterling
6;maximize blue;Cambridgeshire azure User-friendly
7;Associate Sports knowledge user;open-source deposit Team-oriented
8;Innovative Director Ford;Personal Loan Account Personal Loan Account
9;withdrawal Frozen facilitate;transmit Operations Electronics
10;connecting infrastructures Shoes;web-enabled Gold Texas
